 ctrl.inp :: CARD A is being read...
    CTRL  READ COMPLETE..
    Continuous Energy Mode...
    Start reading ace-format nuclear data
           1 1001.711nc
           2 8016.711nc
    WARNING :: NYD block exists
           3 92235.711nc
           4 92238.711nc
    ACE Lib. READ COMPLETE...
 CE_mat.inp :: CARD D is being read...
    CE MAT READ COMPLETE...
    GEOM  READ COMPLETE..
 depletion.inp :: CARD E is being read...
    Setting ugrid...
    Initializing Source...
    Source Initializing Complete...
 
 
  > Num of Threads per Node          28
  > Num of MPI Nodes                  5
  > Num of Histories per Cycle  3000000
  > Skip Cycles:   50  /  Active Cycles:  400
 
  > Tally is OFF
  > m-PRUP is OFF
  > FMFD with CMFD is On
 
    Transport Simulation Starts...
       1    42.64 sec  12.49042  |  keff  1.46873
       2    57.97 sec  12.36160  |  keff  1.49632
       3    37.89 sec  12.23243  |  keff  1.50864
       4    36.25 sec  12.19579  |  keff  1.51300
       5    35.72 sec  12.20100  |  keff  1.51292
       6    35.75 sec  12.21154  |  keff  1.51145
       7    35.80 sec  12.21016  |  keff  1.50853
       8    35.72 sec  12.21747  |  keff  1.50738
       9    35.23 sec  12.22580  |  keff  1.50715
      10    36.22 sec  12.22810  |  keff  1.50716
      11    35.87 sec  12.23215  |  keff  1.50863
      12    36.02 sec  12.23272  |  keff  1.50797
      13    35.87 sec  12.23124  |  keff  1.50850
      14    36.10 sec  12.22395  |  keff  1.50978
      15    34.51 sec  12.21871  |  keff  1.50830
      16    34.59 sec  12.21809  |  keff  1.50922
      17    34.34 sec  12.21825  |  keff  1.50940
      18    34.59 sec  12.21837  |  keff  1.50891
      19    34.37 sec  12.21827  |  keff  1.50836
      20    34.43 sec  12.21832  |  keff  1.50878
      21    34.33 sec  12.21887  |  keff  1.50944
      22    34.34 sec  12.21920  |  keff  1.50846
      23    34.56 sec  12.21943  |  keff  1.50890
      24    34.49 sec  12.21928  |  keff  1.50900
      25    34.47 sec  12.22001  |  keff  1.50944
      26    34.32 sec  12.22028  |  keff  1.50843
      27    34.11 sec  12.22079  |  keff  1.50915
      28    34.08 sec  12.22119  |  keff  1.50847
      29    34.03 sec  12.22203  |  keff  1.50886
      30    34.21 sec  12.22187  |  keff  1.50882
      31    34.08 sec  12.22225  |  keff  1.50790
      32    34.18 sec  12.22185  |  keff  1.50911
      33    34.26 sec  12.22171  |  keff  1.50919
      34    34.04 sec  12.22190  |  keff  1.50870
      35    34.13 sec  12.22191  |  keff  1.50878
      36    34.12 sec  12.22231  |  keff  1.50836
      37    34.00 sec  12.22236  |  keff  1.50882
      38    34.15 sec  12.22245  |  keff  1.50818
      39    34.17 sec  12.22289  |  keff  1.50812
      40    34.20 sec  12.22302  |  keff  1.50802
      41    34.13 sec  12.22333  |  keff  1.50813
      42    34.11 sec  12.22333  |  keff  1.50806
      43    34.28 sec  12.22311  |  keff  1.50887
      44    34.09 sec  12.22264  |  keff  1.50792
      45    34.23 sec  12.22254  |  keff  1.50799
      46    34.12 sec  12.22227  |  keff  1.50917
      47    34.41 sec  12.22217  |  keff  1.50854
      48    34.21 sec  12.22207  |  keff  1.50828
      49    34.17 sec  12.22166  |  keff  1.50897
      50    34.10 sec  12.22215  |  keff  1.50880
      51    35.78 sec  12.22209  |  keff  1.50865   avg  1.50865   SD    0.000
      52    35.70 sec  12.22225  |  keff  1.50914   avg  1.50890   SD   17.103
      53    35.50 sec  12.22261  |  keff  1.50850   avg  1.50876   SD   15.722
      54    35.36 sec  12.22248  |  keff  1.50853   avg  1.50871   SD   12.824
      55    35.42 sec  12.22295  |  keff  1.50862   avg  1.50869   SD   10.379
      56    35.58 sec  12.22350  |  keff  1.50832   avg  1.50863   SD   10.306
      57    35.51 sec  12.22287  |  keff  1.50835   avg  1.50859   SD    9.566
      58    35.34 sec  12.22372  |  keff  1.50830   avg  1.50855   SD    9.036
      59    35.61 sec  12.22351  |  keff  1.50865   avg  1.50856   SD    8.097
      60    35.45 sec  12.22372  |  keff  1.50819   avg  1.50852   SD    8.095
      61    35.40 sec  12.22338  |  keff  1.50818   avg  1.50849   SD    7.931
      62    35.58 sec  12.22327  |  keff  1.50764   avg  1.50842   SD    9.950
      63    35.44 sec  12.22360  |  keff  1.50847   avg  1.50843   SD    9.192
      64    35.47 sec  12.22319  |  keff  1.50763   avg  1.50837   SD   10.154
      65    35.27 sec  12.22274  |  keff  1.50808   avg  1.50835   SD    9.663
      66    35.40 sec  12.22203  |  keff  1.50893   avg  1.50839   SD    9.710
      67    35.52 sec  12.22263  |  keff  1.50786   avg  1.50835   SD    9.618
      68    35.30 sec  12.22238  |  keff  1.50866   avg  1.50837   SD    9.236
      69    35.49 sec  12.22243  |  keff  1.50875   avg  1.50839   SD    8.958
      70    35.31 sec  12.22238  |  keff  1.50808   avg  1.50838   SD    8.646
      71    35.57 sec  12.22285  |  keff  1.50879   avg  1.50840   SD    8.459
      72    35.40 sec  12.22304  |  keff  1.50882   avg  1.50842   SD    8.291
      73    35.46 sec  12.22353  |  keff  1.50837   avg  1.50841   SD    7.934
      74    35.44 sec  12.22360  |  keff  1.50842   avg  1.50841   SD    7.603
      75    35.60 sec  12.22307  |  keff  1.50879   avg  1.50843   SD    7.448
      76    35.59 sec  12.22304  |  keff  1.50863   avg  1.50844   SD    7.203
      77    35.62 sec  12.22309  |  keff  1.50824   avg  1.50843   SD    6.973
      78    35.71 sec  12.22207  |  keff  1.50904   avg  1.50845   SD    7.054
      79    35.45 sec  12.22204  |  keff  1.50880   avg  1.50846   SD    6.911
      80    35.50 sec  12.22251  |  keff  1.50819   avg  1.50845   SD    6.740
      81    35.41 sec  12.22194  |  keff  1.50887   avg  1.50847   SD    6.657
      82    35.59 sec  12.22123  |  keff  1.50792   avg  1.50845   SD    6.662
      83    35.38 sec  12.22147  |  keff  1.50860   avg  1.50845   SD    6.475
      84    35.64 sec  12.22194  |  keff  1.50881   avg  1.50847   SD    6.369
      85    35.59 sec  12.22198  |  keff  1.50851   avg  1.50847   SD    6.188
      86    35.54 sec  12.22200  |  keff  1.50835   avg  1.50846   SD    6.025
      87    35.63 sec  12.22194  |  keff  1.50858   avg  1.50847   SD    5.871
      88    35.56 sec  12.22152  |  keff  1.50849   avg  1.50847   SD    5.717
      89    35.34 sec  12.22154  |  keff  1.50853   avg  1.50847   SD    5.572
      90    35.43 sec  12.22170  |  keff  1.50866   avg  1.50847   SD    5.453
      91    35.58 sec  12.22208  |  keff  1.50858   avg  1.50848   SD    5.325
      92    35.48 sec  12.22157  |  keff  1.50876   avg  1.50848   SD    5.242
      93    35.46 sec  12.22169  |  keff  1.50843   avg  1.50848   SD    5.122
      94    35.68 sec  12.22149  |  keff  1.50859   avg  1.50848   SD    5.011
      95    35.44 sec  12.22142  |  keff  1.50862   avg  1.50849   SD    4.909
      96    35.68 sec  12.22194  |  keff  1.50876   avg  1.50849   SD    4.837
      97    35.43 sec  12.22320  |  keff  1.50849   avg  1.50849   SD    4.734
      98    35.45 sec  12.22351  |  keff  1.50976   avg  1.50852   SD    5.327
      99    35.62 sec  12.22347  |  keff  1.50840   avg  1.50852   SD    5.223
     100    35.36 sec  12.22377  |  keff  1.50837   avg  1.50851   SD    5.127
     101    35.41 sec  12.22400  |  keff  1.50896   avg  1.50852   SD    5.102
     102    35.37 sec  12.22444  |  keff  1.50879   avg  1.50853   SD    5.030
     103    35.40 sec  12.22479  |  keff  1.50821   avg  1.50852   SD    4.972
     104    35.55 sec  12.22483  |  keff  1.50790   avg  1.50851   SD    5.011
     105    35.64 sec  12.22428  |  keff  1.50857   avg  1.50851   SD    4.921
     106    35.39 sec  12.22485  |  keff  1.50882   avg  1.50852   SD    4.863
     107    35.66 sec  12.22477  |  keff  1.50908   avg  1.50853   SD    4.879
     108    35.38 sec  12.22574  |  keff  1.50894   avg  1.50853   SD    4.847
     109    35.41 sec  12.22624  |  keff  1.50883   avg  1.50854   SD    4.791
     110    35.50 sec  12.22574  |  keff  1.50804   avg  1.50853   SD    4.783
     111    35.47 sec  12.22616  |  keff  1.50852   avg  1.50853   SD    4.705
     112    35.26 sec  12.22642  |  keff  1.50824   avg  1.50853   SD    4.652
     113    35.58 sec  12.22615  |  keff  1.50817   avg  1.50852   SD    4.612
     114    35.55 sec  12.22628  |  keff  1.50834   avg  1.50852   SD    4.548
     115    35.52 sec  12.22567  |  keff  1.50857   avg  1.50852   SD    4.479
     116    35.45 sec  12.22573  |  keff  1.50846   avg  1.50852   SD    4.412
     117    35.47 sec  12.22522  |  keff  1.50753   avg  1.50850   SD    4.586
     118    35.49 sec  12.22590  |  keff  1.50781   avg  1.50849   SD    4.631
     119    35.68 sec  12.22559  |  keff  1.50897   avg  1.50850   SD    4.616
     120    35.58 sec  12.22562  |  keff  1.50833   avg  1.50850   SD    4.557
     121    35.42 sec  12.22611  |  keff  1.50771   avg  1.50849   SD    4.625
     122    35.69 sec  12.22642  |  keff  1.50810   avg  1.50848   SD    4.591
     123    35.42 sec  12.22599  |  keff  1.50959   avg  1.50850   SD    4.774
     124    35.46 sec  12.22586  |  keff  1.50878   avg  1.50850   SD    4.725
     125    35.44 sec  12.22639  |  keff  1.50804   avg  1.50849   SD    4.701
     126    35.45 sec  12.22635  |  keff  1.50782   avg  1.50848   SD    4.723
     127    35.56 sec  12.22612  |  keff  1.50828   avg  1.50848   SD    4.669
     128    35.66 sec  12.22574  |  keff  1.50875   avg  1.50849   SD    4.622
     129    35.48 sec  12.22576  |  keff  1.50861   avg  1.50849   SD    4.566
     130    35.72 sec  12.22531  |  keff  1.50843   avg  1.50849   SD    4.510
     131    35.60 sec  12.22508  |  keff  1.50821   avg  1.50848   SD    4.467
     132    35.53 sec  12.22490  |  keff  1.50964   avg  1.50850   SD    4.630
     133    35.44 sec  12.22509  |  keff  1.50810   avg  1.50849   SD    4.599
     134    35.48 sec  12.22490  |  keff  1.50901   avg  1.50850   SD    4.586
     135    35.54 sec  12.22534  |  keff  1.50805   avg  1.50849   SD    4.563
     136    35.47 sec  12.22490  |  keff  1.50824   avg  1.50849   SD    4.519
     137    35.54 sec  12.22450  |  keff  1.50851   avg  1.50849   SD    4.467
     138    35.54 sec  12.22497  |  keff  1.50919   avg  1.50850   SD    4.487
     139    35.78 sec  12.22466  |  keff  1.50896   avg  1.50850   SD    4.467
     140    35.66 sec  12.22502  |  keff  1.50896   avg  1.50851   SD    4.446
     141    35.51 sec  12.22522  |  keff  1.50823   avg  1.50851   SD    4.408
     142    35.41 sec  12.22474  |  keff  1.50870   avg  1.50851   SD    4.365
     143    35.73 sec  12.22456  |  keff  1.50860   avg  1.50851   SD    4.319
     144    35.72 sec  12.22498  |  keff  1.50864   avg  1.50851   SD    4.275
     145    35.80 sec  12.22441  |  keff  1.50854   avg  1.50851   SD    4.230
     146    35.58 sec  12.22449  |  keff  1.50835   avg  1.50851   SD    4.189
     147    35.57 sec  12.22502  |  keff  1.50828   avg  1.50851   SD    4.153
     148    35.35 sec  12.22580  |  keff  1.50831   avg  1.50850   SD    4.115
     149    35.75 sec  12.22651  |  keff  1.50845   avg  1.50850   SD    4.074
     150    35.63 sec  12.22639  |  keff  1.50846   avg  1.50850   SD    4.033
     151    35.69 sec  12.22626  |  keff  1.50853   avg  1.50850   SD    3.994
     152    35.41 sec  12.22611  |  keff  1.50829   avg  1.50850   SD    3.960
     153    35.68 sec  12.22610  |  keff  1.50899   avg  1.50851   SD    3.950
     154    35.82 sec  12.22605  |  keff  1.50911   avg  1.50851   SD    3.954
     155    35.66 sec  12.22599  |  keff  1.50863   avg  1.50851   SD    3.918
     156    35.68 sec  12.22661  |  keff  1.50821   avg  1.50851   SD    3.892
     157    35.46 sec  12.22667  |  keff  1.50856   avg  1.50851   SD    3.856
     158    35.43 sec  12.22538  |  keff  1.50871   avg  1.50851   SD    3.824
     159    35.44 sec  12.22534  |  keff  1.50778   avg  1.50851   SD    3.848
     160    35.55 sec  12.22555  |  keff  1.50774   avg  1.50850   SD    3.876
